Phenotype description	Gene name
actin filament part_of fast muscle cell disorganized	tnnt3a
actin filament part_of fast muscle cell distributed	tnnt3a
muscle part_of trunk refractivity	tnnt3a
myofibril part_of fast muscle cell degenerate	tnnt3a
sarcomere part_of skeletal muscle disorganized	tnnt3a
	prph2b
ammonium transmembrane transport decreased rate	rhag
heart edematous	rhag
post-vent region curved	rhag
urea transport decreased rate	rhag
	taf4b
	hbae5
anterior-posterior axis part_of whole organism decreased length	ldb3a
atrium decreased thickness	ldb3a
atrium elongated	ldb3a
cardiac ventricle morphology	ldb3a
heart development disrupted	ldb3a
locomotion disrupted	ldb3a
myotome condensed	ldb3a
myotome deformed	ldb3a
pericardium decreased thickness	ldb3a
pericardium edematous	ldb3a
posterior region part_of notochord malformed	ldb3a
presumptive atrium heart tube elongated	ldb3a
skeletal muscle refractivity	ldb3a
somite condensed	ldb3a
somite deformed	ldb3a
somite disorganized	ldb3a
somite morphology	ldb3a
somite shape	ldb3a
thigmotaxis disrupted	ldb3a
trunk curved	ldb3a
ventricular myocardium decreased size	ldb3a
ventricular myocardium disorganized	ldb3a
whole organism decreased mobility	ldb3a
	kdf1b
definitive hemopoiesis disrupted	rps24
nucleate erythrocyte decreased amount	rps24
primitive hemopoiesis disrupted	rps24
	strada
	cfl2
BMP signaling pathway disrupted	bmpr2a
angiogenesis disrupted	bmpr2a
anterior-posterior axis part_of whole organism decreased length	bmpr2a
caudal vein plexus decreased size	bmpr2a
caudal vein plexus morphology	bmpr2a
determination of left/right symmetry disrupted	bmpr2a
digestive tract morphogenesis disrupted	bmpr2a
gonad hypertrophic	bmpr2a
gonad increased weight	bmpr2a
heart looping disrupted	bmpr2a
heart edematous	bmpr2a
lymph vasculature inverted	bmpr2a
male organism increased weight	bmpr2a
meiosis I occurs_in testis decreased process quality	bmpr2a
ovary accumulation	bmpr2a
ovary hypertrophic	bmpr2a
sprouting angiogenesis disrupted	bmpr2a
testis accumulation	bmpr2a
testis hypertrophic	bmpr2a
thoracic duct has fewer parts of type ZFA:0009065	bmpr2a
venous blood vessel morphogenesis disrupted	bmpr2a
	adamtsl2
atrium decreased functionality	cryabb
axis curved	cryabb
axis shortened	cryabb
cardiac ventricle decreased functionality	cryabb
heart contraction decreased rate	cryabb
heart edematous	cryabb
lens development in camera-type eye process quality	cryabb
lens morphology	cryabb
lens part_of eye decreased size	cryabb
lens part_of eye opaque	cryabb
locomotion disrupted	cryabb
nucleus part_of skeletal muscle circular	cryabb
pericardium edematous	cryabb
sarcomere part_of skeletal muscle disorganized	cryabb
skeletal muscle refractivity	cryabb
thigmotaxis disrupted	cryabb
trunk curved	cryabb
whole organism decreased mobility	cryabb
	mpdu1b
	pik3r1
actin filament organization occurs_in cardiac muscle cell decreased process quality	myo5b
apical plasma membrane part_of peridermal cell decreased area	myo5b
atrium hypotrophic	myo5b
basolateral plasma membrane part_of peridermal cell decreased area	myo5b
cardiac chamber ballooning occurs_in atrium decreased occurrence	myo5b
cardiac chamber ballooning occurs_in cardiac ventricle decreased occurrence	myo5b
cardiac muscle cell decreased size	myo5b
cardiac muscle cell has extra parts of type GO:0055037	myo5b
cardiac muscle cell obtuse	myo5b
cardiac muscle cell part_of cardiac ventricle decreased size	myo5b
cardiac muscle cell protruding out of	myo5b
cardiac muscle cell shape	myo5b
cardiac muscle tissue growth involved in heart morphogenesis occurs_in heart decreased process quality	myo5b
cardiac ventricle hypotrophic	myo5b
cell cortex part_of cardiac muscle cell increased amount	myo5b
cell cortex part_of cardiac muscle cell mislocalised	myo5b
cell cortex part_of cardiac muscle cell spatial pattern	myo5b
cell population proliferation occurs_in epidermal basal stratum increased occurrence	myo5b
cell population proliferation occurs_in periderm increased occurrence	myo5b
cell projection membrane part_of peridermal cell absent	myo5b
cell part_of integument circular	myo5b
cranial nerve II decreased width	myo5b
cranial nerve II has fewer parts of type GO:0030424	myo5b
digestive tract morphogenesis disrupted	myo5b
dorsal fin fold malformed	myo5b
embryonic anal fin morphogenesis occurs_in ventral fin fold decreased process quality	myo5b
embryonic dorsal fin morphogenesis occurs_in dorsal fin fold decreased process quality	myo5b
endocytic recycling occurs_in cardiac muscle cell decreased occurrence	myo5b
endosome part_of cell increased accumulation	myo5b
enterocyte columnar	myo5b
enterocyte increased height	myo5b
enterocyte morphology	myo5b
enterocyte part_of gut decreased amount	myo5b
epidermal cell morphology	myo5b
epidermal cell spherical	myo5b
epidermis structure	myo5b
epithelial cell part_of dorsal fin fold protruding	myo5b
epithelial cell part_of ventral fin fold protruding	myo5b
filamentous actin part_of cardiac muscle cell mislocalised radially	myo5b
fin decreased size	myo5b
head retracted	myo5b
heart contraction decreased rate	myo5b
heart decreased size	myo5b
inclusion body part_of enterocyte increased amount	myo5b
intestine morphology	myo5b
intestine smooth	myo5b
lysosome part_of cell increased accumulation	myo5b
microvillus part_of enterocyte decreased length	myo5b
microvillus part_of enterocyte mislocalised	myo5b
microvillus part_of intestine morphology	myo5b
peridermal cell decreased size	myo5b
peridermal cell increased amount	myo5b
peridermal cell morphology	myo5b
peridermal cell spherical	myo5b
recycling endosome part_of cardiac muscle cell increased amount	myo5b
recycling endosome part_of cardiac muscle cell increased size	myo5b
regulation of embryonic cell shape occurs_in cardiac muscle cell process quality	myo5b
secretory granule part_of enterocyte accumulation BSPO:0000057	myo5b
surface structure quality	myo5b
ventral fin fold malformed	myo5b
vesicle part_of cell increased accumulation	myo5b
whole organism dead	myo5b
	cplx2l
respiratory burst decreased process quality	ncf1
	slc25a36a
	ddhd1b
cerebellum hemorrhagic	pycr1b
epidermis atrophied	pycr1b
forebrain decreased size	pycr1b
head decreased size	pycr1b
hindbrain decreased size	pycr1b
midbrain decreased size	pycr1b
post-vent region curved	pycr1b
post-vent region increased curvature	pycr1b
trunk shortened	pycr1b
whole organism apoptotic	pycr1b
whole organism decreased length	pycr1b
whole organism decreased mobility	pycr1b
whole organism malformed	pycr1b
Muller cell physical object quality	lamb2
basement membrane part_of vertical myoseptum malformed	lamb2
cell body part_of Muller cell position	lamb2
cell body part_of Muller cell spatial pattern	lamb2
glial cell projection part_of Muller cell morphology	lamb2
glial cell projection part_of Muller cell overlap with GO:0097386	lamb2
glial cell projection part_of Muller cell spatial pattern	lamb2
inner limiting membrane broken	lamb2
inner limiting membrane morphology	lamb2
larval locomotory behavior decreased rate	lamb2
muscle attachment process quality	lamb2
muscle cell part_of myotome retracted	lamb2
muscle dystrophic	lamb2
musculoskeletal movement disrupted	lamb2
myofibril part_of somite detached from	lamb2
myoseptum part_of myotome mislocalised	lamb2
myotome degenerate	lamb2
myotome refractivity	lamb2
notochord morphology	lamb2
notochord quality	lamb2
retinal inner plexiform layer irregular thickness	lamb2
retinal inner plexiform layer morphology	lamb2
retinal neural layer lacks parts or has fewer parts of type	lamb2
sarcolemma part_of skeletal muscle cell broken	lamb2
skeletal muscle cell part_of myotome decreased amount	lamb2
skeletal muscle cell part_of myotome degeneration	lamb2
slow muscle cell retracted	lamb2
somite degenerate	lamb2
somite disorganized	lamb2
thigmotaxis decreased rate	lamb2
trunk musculature quality	lamb2
vertical myoseptum malformed	lamb2
whole organism lethal (sensu genetics)	lamb2
whole organism viability	lamb2
	nfs1
	fbn2a
	kcnv2a
	pmp22b
	trps1
	cox11
	cep85l
	hnrnpa1b
axon part_of CaP motoneuron decreased length	agrn
axon part_of Rohon-Beard neuron decreased amount	agrn
axon part_of Rohon-Beard neuron decreased length	agrn
axon part_of cranial nerve II decreased amount	agrn
axon part_of cranial nerve IX decreased length	agrn
axon part_of cranial nerve V decreased length	agrn
axon part_of cranial nerve V defasciculated	agrn
axon part_of cranial nerve VI decreased length	agrn
axon part_of cranial nerve X decreased length	agrn
axon part_of lateral line nerve decreased length	agrn
axonal defasciculation increased occurrence	agrn
branchiomotor neuron axon guidance disrupted	agrn
cranial nerve II decreased size	agrn
eye apoptotic	agrn
eye decreased amount	agrn
eye decreased diameter	agrn
eye decreased size	agrn
eye spatial pattern	agrn
facial ganglion decreased size	agrn
forebrain decreased amount	agrn
heart contraction decreased rate	agrn
hindbrain decreased amount	agrn
midbrain hindbrain boundary aplastic	agrn
midbrain-hindbrain boundary development disrupted	agrn
motor neuron axon guidance disrupted	agrn
neuron differentiation disrupted	agrn
neuron projection part_of retinal ganglion cell layer mislocalised	agrn
neuron part_of hindbrain decreased amount	agrn
neuron part_of spinal cord decreased amount	agrn
otic vesicle decreased size	agrn
pericardium edematous	agrn
pharyngeal pouch morphology	agrn
post-anal tail morphogenesis disrupted	agrn
post-vent region curvature	agrn
post-vent region decreased length	agrn
receptor clustering disrupted	agrn
retina layer formation disrupted	agrn
retina decreased amount	agrn
retinal ganglion cell layer apoptotic	agrn
retinal ganglion cell layer decreased amount	agrn
retinal ganglion cell layer decreased size	agrn
retinal inner nuclear layer decreased amount	agrn
sensory neuron morphology	agrn
somite border morphology	agrn
somite decreased size	agrn
somite morphology	agrn
trigeminal motor nucleus decreased size	agrn
whole organism decreased length	agrn
whole organism immobile	agrn
	mcm9
	gyg1b
	HTRA2
axon part_of motor neuron decreased length	ubap1
embryo development disrupted	ubap1
somite U-shaped	ubap1
thigmotaxis disrupted	ubap1
thymus decreased amount	ubap1
whole organism curved ventral	ubap1
whole organism dead	ubap1
whole organism decreased life span	ubap1
erythrocyte differentiation disrupted	rpl27
extension decreased thickness	rpl27
nucleate erythrocyte decreased amount	rpl27
post-vent region bent	rpl27
cell part_of ectoderm orientation	ror2
cell part_of ectoderm shape	ror2
cell part_of notochord orientation	ror2
cell part_of notochord shape	ror2
convergent extension involved in axis elongation process quality	ror2
extension decreased length	ror2
eye decreased size	ror2
head decreased size	ror2
head malformed	ror2
whole organism curved ventral	ror2
	kmt2ca
Meckel's cartilage decreased size	wls
Meckel's cartilage dislocated	wls
Meckel's cartilage increased amount	wls
Meckel's cartilage shortened	wls
Wnt protein secretion occurs_in pharyngeal arch decreased occurrence	wls
anatomical structure absent	wls
brain development disrupted	wls
brain disorganized	wls
brain malformed	wls
branchiostegal ray absent	wls
cartilage development occurs_in pharyngeal arch decreased process quality	wls
cartilage morphogenesis occurs_in Meckel's cartilage process quality	wls
cell migration occurs_in palate process quality	wls
cell population proliferation occurs_in pharyngeal arch decreased occurrence	wls
ceratobranchial 5 bone absent	wls
ceratobranchial cartilage malformed	wls
ceratohyal cartilage decreased size	wls
ceratohyal cartilage dislocated	wls
chondrocyte proliferation disrupted	wls
chondrocyte part_of Meckel's cartilage morphology	wls
chondrocyte part_of Meckel's cartilage positional polarity	wls
chondrocyte part_of interhyal cartilage decreased amount	wls
chondrocyte part_of palate circular	wls
chondrocyte part_of palate decreased size	wls
chondrocyte part_of palate irregular spatial pattern	wls
dentary absent	wls
diencephalon absent	wls
diencephalon decreased distribution	wls
dorsal habenular nucleus absent	wls
dorsal habenular nucleus decreased amount	wls
dorsal habenular nucleus decreased distribution	wls
dorsal region part_of diencephalon absent	wls
dorsal region part_of diencephalon decreased amount	wls
dorsal region part_of diencephalon increased distribution	wls
embryonic viscerocranium morphogenesis decreased process quality	wls
endochondral bone absent	wls
endochondral ossification disrupted	wls
epithalamus decreased distribution	wls
eye decreased size	wls
habenula decreased amount	wls
